#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	SSM01.metaphlan_alltax	SSM02.metaphlan_alltax	SSM03.metaphlan_alltax	SSM04.metaphlan_alltax	SSM05.metaphlan_alltax	SSM06.metaphlan_alltax	SSM07.metaphlan_alltax	SSM08.metaphlan_alltax	SSM09.metaphlan_alltax	SSM10.metaphlan_alltax	SSM11.metaphlan_alltax	SSM12.metaphlan_alltax	SSM13.metaphlan_alltax	SSM14.metaphlan_alltax	SSM15.metaphlan_alltax	SSM16.metaphlan_alltax	SSM17.metaphlan_alltax	SSM18.metaphlan_alltax	SSM19.metaphlan_alltax	SSM20.metaphlan_alltax	SSM21.metaphlan_alltax	SSM22.metaphlan_alltax	SSM23.metaphlan_alltax	SSM24.metaphlan_alltax	SSM25.metaphlan_alltax	SSM26.metaphlan_alltax	SSM27.metaphlan_alltax	SSM28.metaphlan_alltax	SSM29.metaphlan_alltax	SSM30.metaphlan_alltax	SSM31.metaphlan_alltax	SSM32.metaphlan_alltax	SSM33.metaphlan_alltax	SSM34.metaphlan_alltax	SSM35.metaphlan_alltax	SSM36.metaphlan_alltax	SSM37.metaphlan_alltax	SSM38.metaphlan_alltax	SSM39.metaphlan_alltax	SSM40.metaphlan_alltax	SSM41.metaphlan_alltax
k__Bacteria	100.0	100.0	100.0	100.0	100.0	99.89026	100.0	100.0	100.0	100.0	100.0	100.0	99.99434	100.0	100.0	100.0	100.0	99.96949	100.0	99.51733	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	77.45758	87.25414	48.86074	49.08616	24.83739	48.19162	29.3589	99.58092	99.99688	8.39136	45.14324	50.54535	96.22246	29.19036	68.19125	64.4068	91.81746	72.80708	65.48345	60.30056	73.7409	56.05397	99.66753	96.41157	90.35588	64.59299	71.80007	98.70272	48.8087	45.09914	91.81987	84.70733	75.37434	54.5495	89.3283	98.10611	0.65447	62.46522	90.92885	81.55381	96.33674
k__Bacteria|p__Bacteroidetes	15.09566	0.6609	50.93962	26.93364	74.16466	24.46187	64.40845	0.26111	0.0	0.0	0.0	17.68097	0.21541	12.54088	7.66567	11.28624	1.14813	6.16686	18.75481	19.91977	4.1844	36.29014	0.0	0.0	0.0	0.0	21.00322	0.0	43.48765	23.63894	1.83097	0.14604	2.35948	42.49486	2.00753	0.0	0.0	27.25526	6.64411	17.63022	3.66326
k__Bacteria|p__Actinobacteria	7.44088	3.95416	0.19964	19.7708	0.14074	23.59288	0.59133	0.0	0.00312	0.0	0.0	28.33033	3.55647	24.16154	7.72278	2.48687	0.01263	4.74798	0.4338	16.71711	12.47152	4.15167	0.17219	3.58797	9.64412	0.25946	2.16528	1.04164	0.60642	12.53216	1.76723	15.14664	0.07689	0.67322	4.31087	0.0	0.0	6.11161	1.59687	0.81597	0.0
k__Bacteria|p__Proteobacteria	0.00588	8.1308	0.0	0.89575	0.85721	3.59875	5.64132	0.15797	0.0	91.60864	54.85676	3.41946	0.0	34.06492	0.33285	0.38469	0.01214	16.21415	15.32794	0.58467	9.60318	2.07823	0.10799	0.00046	0.0	35.14755	5.03142	0.03876	7.09723	18.72977	4.58194	0.0	22.18818	1.25146	4.3414	1.89389	99.34553	4.1458	0.83017	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	75.09886	83.35057	0.57386	46.84588	23.96273	46.46187	27.05974	0.0	98.92284	0.0	0.0	41.36786	0.36342	25.56377	64.57996	57.40212	82.07599	71.96719	65.3195	56.97235	71.30287	55.21602	98.8942	89.37621	90.35588	63.62315	70.02037	72.20155	47.15645	40.82076	90.05475	9.98301	68.78873	52.9393	54.73066	0.0	0.0	50.39173	7.20383	77.95864	19.36475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.09566	0.6609	50.93962	26.32776	74.16466	24.46187	64.40845	0.26111	0.0	0.0	0.0	17.68097	0.21541	12.54088	7.66567	11.28624	1.14813	6.16686	18.75481	19.91977	4.1844	36.29014	0.0	0.0	0.0	0.0	21.00322	0.0	43.48765	23.63894	1.83097	0.14604	2.35948	42.49486	2.00753	0.0	0.0	27.25526	6.64411	17.63022	3.66326
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.5353	0.62712	0.19964	14.99646	0.07855	19.82421	0.13615	0.0	0.00312	0.0	0.0	26.08819	3.55647	3.04968	0.30272	0.05071	0.01263	2.55592	0.25444	13.54827	12.47152	1.74329	0.17219	2.79359	0.29221	0.25946	0.97311	1.04164	0.0	7.50653	0.73647	15.14664	0.07281	0.17217	0.11895	0.0	0.0	5.90483	1.59687	0.43587	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.90558	3.32704	0.0	4.77434	0.06219	3.76867	0.45519	0.0	0.0	0.0	0.0	2.15312	0.0	21.11186	7.42006	2.43616	0.0	2.19205	0.17936	3.16884	0.0	2.40838	0.0	0.79438	9.35191	0.0	1.19217	0.0	0.60642	5.02562	1.03075	0.0	0.00407	0.37152	3.7759	0.0	0.0	0.20678	0.0	0.38011	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.65066	0.62341	0.0	0.48908	0.0	0.55119	2.07965	0.0	0.03854	0.0	0.0	0.001	0.0	0.0	0.34759	0.02689	0.0	0.0	0.0	2.10342	2.35635	0.0	0.0	1.63412	0.0	0.0	0.0	1.88963	0.0	3.00434	0.09614	0.0	0.00372	0.68921	0.0	0.0	0.0	8.85901	1.66233	2.4816	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.54724	2.47155	36.3055	0.05771	0.0	0.12814	0.02346	99.58092	0.65154	8.39136	45.14324	0.0	95.6259	0.00766	0.01654	0.13728	0.14388	0.1193	0.0	1.00063	0.08168	0.30747	0.36737	0.0	0.0	0.39701	0.0	0.65119	0.0	0.05005	0.01904	74.72431	4.76964	0.0	0.0151	0.0	0.65447	0.23338	82.03925	0.084	76.97199
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.47454	0.80337	11.98138	0.04437	0.07521	0.29064	0.0845	0.0	0.38396	0.0	0.0	0.6579	0.0	1.10704	0.279	1.49012	1.10775	0.69106	0.16395	0.21136	0.0	0.52863	0.40596	4.3761	0.0	0.57283	1.15622	23.96035	0.96234	0.65075	1.1965	0.0	1.80978	0.79571	34.58255	98.10611	0.0	1.37499	0.02344	0.76956	0.0
k__Bacteria|p__Firmicutes|c__CFGB3053	0.33268	0.0	0.0	0.06284	0.0	0.03551	0.0	0.0	0.0	0.0	0.0	0.00762	0.0	0.0	0.0	0.0	0.03748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57324	0.0	0.0	0.0	0.05205	0.0	0.0	0.0	0.53776	0.0	0.26002	0.0
k__Bacteria|p__Firmicutes|c__CFGB3047	0.20849	0.0	0.0	0.16782	0.0	0.0	0.11155	0.0	0.0	0.0	0.0	0.02091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01281	0.0	0.00185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06834	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.10722	0.00524	0.0	0.30577	0.0	0.56206	0.0	0.0	0.0	0.0	0.0	0.02489	0.0	0.0	0.3088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2882	0.03285	0.0	0.0	0.05667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00965	0.0	0.0	0.09329	0.0	0.14338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00588	0.0	0.0	0.06042	0.0	0.85756	0.15392	0.0	0.0	0.0	0.0	0.58698	0.0	0.0	0.33285	0.37383	0.0	0.0	0.0	0.58467	0.0	2.0345	0.0	0.0	0.0	0.0	0.9201	0.0	5.63311	0.0	0.7353	0.0	0.0	0.47927	4.3414	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.00502	0.0	0.0	0.0	0.0	0.00872	0.0	0.0	0.0	0.0	0.0	0.11736	0.0	0.0	0.01495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	61.06065	82.83006	0.57386	39.98719	21.66115	38.75976	26.95218	0.0	0.0	0.0	0.0	37.62687	0.36342	23.96103	56.0647	32.39778	77.93374	64.74493	61.81729	53.43747	71.30287	52.55442	98.69571	73.91964	88.25977	62.23483	60.22871	72.20155	44.3452	40.43232	86.57855	9.98301	28.27046	43.15368	52.48073	0.0	0.0	50.39173	7.20383	77.95864	19.36475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	15.09566	0.6609	50.93962	26.32776	74.16466	24.46187	64.40845	0.26111	0.0	0.0	0.0	17.68097	0.21541	12.54088	7.66567	11.28624	1.14813	6.16686	18.75481	19.91977	4.1844	36.29014	0.0	0.0	0.0	0.0	21.00322	0.0	43.48765	23.63894	1.83097	0.14604	2.35948	42.49486	2.00753	0.0	0.0	27.25526	6.64411	17.63022	3.66326
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	14.03821	0.52051	0.0	6.85868	2.30158	7.66182	0.10756	0.0	0.0	0.0	0.0	3.71948	0.0	1.60273	8.45599	24.82912	4.14226	7.22226	3.50221	3.53488	0.0	2.6616	0.1985	15.45658	2.0961	1.38832	9.79166	0.0	2.81125	0.38844	3.4762	0.0	23.84527	9.78562	2.24992	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	4.52224	0.60557	0.19169	14.88213	0.01479	19.71762	0.0	0.0	0.0	0.0	0.0	26.0404	3.25828	2.86441	0.00632	0.00235	0.0	2.54417	0.0	13.51526	12.234	0.74842	0.09919	2.79359	0.0	0.05609	0.85679	0.46478	0.0	7.50653	0.45047	4.46498	0.0	0.02191	0.05787	0.0	0.0	5.88754	1.59687	0.43587	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1.53806	0.16483	0.0	0.34988	0.06219	3.76867	0.45519	0.0	0.0	0.0	0.0	0.68645	0.0	0.49673	7.42006	2.43616	0.0	2.18895	0.17936	0.04731	0.0	0.40926	0.0	0.79438	9.35191	0.0	1.19217	0.0	0.60642	5.02562	0.14596	0.0	0.0	0.37152	3.7759	0.0	0.0	0.20678	0.0	0.38011	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	1.36752	3.16222	0.0	4.42446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46667	0.0	20.61514	0.0	0.0	0.0	0.0031	0.0	3.03401	0.0	1.99912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88479	0.0	0.00407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.61966	0.62341	0.0	0.0	0.0	0.0	2.07965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09614	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.54724	2.47155	36.3055	0.0355	0.0	0.12814	0.02346	99.58092	0.65154	0.0	0.0	0.0	95.6259	0.00766	0.01654	0.13728	0.14388	0.1193	0.0	1.00063	0.08168	0.30747	0.36737	0.0	0.0	0.39701	0.0	0.65119	0.0	0.05005	0.01904	74.72431	4.66494	0.0	0.0151	0.0	0.65447	0.23338	82.03925	0.084	76.49731
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.47454	0.80337	11.98138	0.04437	0.07521	0.29064	0.0845	0.0	0.38396	0.0	0.0	0.6579	0.0	1.10704	0.279	1.49012	1.10775	0.69106	0.16395	0.21136	0.0	0.52863	0.40596	4.3761	0.0	0.57283	1.15622	23.96035	0.96234	0.65075	1.1965	0.0	1.80978	0.79571	34.58255	98.10611	0.0	1.37499	0.02344	0.76956	0.0
k__Bacteria|p__Firmicutes|c__CFGB3053|o__OFGB3053	0.33268	0.0	0.0	0.06284	0.0	0.03551	0.0	0.0	0.0	0.0	0.0	0.00762	0.0	0.0	0.0	0.0	0.03748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57324	0.0	0.0	0.0	0.05205	0.0	0.0	0.0	0.53776	0.0	0.26002	0.0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	0.20849	0.0	0.0	0.16782	0.0	0.0	0.11155	0.0	0.0	0.0	0.0	0.02091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01281	0.0	0.00185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06834	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.10722	0.00524	0.0	0.30577	0.0	0.56206	0.0	0.0	0.0	0.0	0.0	0.02489	0.0	0.0	0.3088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2882|o__OFGB2882	0.03285	0.0	0.0	0.05667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00965	0.0	0.0	0.09329	0.0	0.14338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.03101	0.0	0.0	0.48908	0.0	0.55119	0.0	0.0	0.03854	0.0	0.0	0.001	0.0	0.0	0.34759	0.02689	0.0	0.0	0.0	2.07199	2.35635	0.0	0.0	1.63412	0.0	0.0	0.0	1.88963	0.0	3.00434	0.0	0.0	0.0	0.68921	0.0	0.0	0.0	8.85901	1.66233	2.4816	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.01306	0.02155	0.0	0.01189	0.0	0.03749	0.12005	0.0	0.0	0.0	0.0	0.0	0.24253	0.01262	0.06677	0.00318	0.0	0.00036	0.25444	0.03301	0.0	0.99487	0.01477	0.0	0.0	0.03008	0.11632	0.08886	0.0	0.0	0.0	0.0	0.03357	0.03669	0.01704	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00588	0.0	0.0	0.06042	0.0	0.85756	0.15392	0.0	0.0	0.0	0.0	0.58698	0.0	0.0	0.33285	0.37383	0.0	0.0	0.0	0.58467	0.0	2.0345	0.0	0.0	0.0	0.0	0.9201	0.0	5.63311	0.0	0.7353	0.0	0.0	0.47927	4.3414	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.00502	0.0	0.0	0.0	0.0	0.00872	0.0	0.0	0.0	0.0	0.0	0.11736	0.0	0.0	0.01495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	35.60996	68.0205	0.04206	29.87851	13.708	24.11026	11.05046	0.0	0.0	0.0	0.0	30.84336	0.24647	18.61624	41.72112	25.27992	41.0831	41.41485	37.5654	39.32396	38.53204	34.53041	86.06331	62.19555	44.28981	24.96784	37.65489	52.0881	33.081	24.10018	69.56129	9.98301	25.9191	28.70461	37.23719	0.0	0.0	31.53628	5.49507	53.93758	16.38834
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	14.03821	0.52051	0.0	6.85868	2.30158	7.66182	0.10756	0.0	0.0	0.0	0.0	3.71948	0.0	1.60273	8.45599	24.82912	4.14226	7.22226	3.50221	3.53488	0.0	2.6616	0.1985	15.45658	2.0961	1.38832	9.79166	0.0	2.81125	0.38844	3.4762	0.0	23.84527	9.78562	2.24992	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	10.76826	9.65687	0.06881	6.27937	4.87947	5.05594	14.97345	0.0	0.0	0.0	0.0	3.2163	0.0	1.06806	4.67967	1.79412	1.87285	20.59567	24.14879	1.84887	23.52172	2.67106	12.62595	6.59305	43.87474	24.82501	4.74018	20.11345	2.7253	11.41436	4.92976	0.0	2.35091	0.86629	10.01127	0.0	0.0	5.23319	0.07879	6.51477	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	6.86603	0.39162	31.61637	21.60366	71.44874	14.56364	1.08735	0.0	0.0	0.0	0.0	14.43002	0.19558	12.18709	5.87658	8.62106	1.14813	0.00045	0.0	10.86458	4.1844	23.5855	0.0	0.0	0.0	0.0	12.08303	0.0	31.85854	13.03618	0.68265	0.14604	0.0	40.36802	2.00753	0.0	0.0	4.94565	0.70853	1.90296	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	6.62146	0.05796	0.0	0.80295	1.35478	5.13608	0.92827	0.0	0.0	0.0	0.0	0.60824	0.0	0.34157	6.42351	1.90094	33.11877	2.14226	0.0	9.71527	0.03855	12.34231	0.0	0.0	0.0	0.0	9.26955	0.0	5.33764	3.56154	10.67023	0.0	0.00046	8.42756	1.57001	0.0	0.0	8.00076	1.04765	14.93351	2.97641
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	5.91718	4.70395	0.46299	2.45137	1.23063	3.18924	0.0	0.0	0.0	0.0	0.0	1.75367	0.0	1.55797	2.12992	0.57127	1.66197	0.5694	0.1031	2.10311	8.54512	0.37746	0.00645	4.87086	0.09523	0.01547	7.45986	0.0	2.04413	1.13251	0.24371	0.0	0.0	0.39079	1.1008	0.0	0.0	5.62151	0.58232	2.57278	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	5.57324	0.23193	1.15402	2.81253	0.319	9.19229	15.4512	0.0	0.0	0.0	0.0	2.31152	0.01983	0.20726	1.20419	2.04415	0.0	0.0	0.0	2.39826	0.0	7.95088	0.0	0.0	0.0	0.0	7.14102	0.0	10.20254	1.34138	0.5922	0.0	0.0	0.51068	0.0	0.0	0.0	12.80532	3.27014	3.31394	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	4.52224	0.60557	0.19169	14.88213	0.01479	19.71762	0.0	0.0	0.0	0.0	0.0	26.0404	3.25828	2.86441	0.00632	0.00235	0.0	2.54417	0.0	13.51526	12.234	0.74842	0.09919	2.79359	0.0	0.05609	0.85679	0.46478	0.0	7.50653	0.45047	4.46498	0.0	0.02191	0.05787	0.0	0.0	5.88754	1.59687	0.43587	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	1.64368	0.01503	17.56581	0.25845	0.35567	0.24505	14.59561	0.0	0.0	0.0	0.0	0.16189	0.0	0.01289	0.09817	0.25095	0.0	6.16642	18.75481	0.12656	0.0	0.65317	0.0	0.0	0.0	0.0	0.27309	0.0	0.13111	0.0	0.16838	0.0	2.35948	0.1973	0.0	0.0	0.0	4.34551	1.23487	3.1195	0.39624
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	1.60415	0.20657	0.0	0.48794	0.1193	0.93256	0.0	0.0	0.0	0.0	0.0	0.89642	0.0	2.34489	0.7644	2.82659	0.1796	0.02274	0.0	0.44466	0.66543	2.63319	0.0	0.26018	0.0	12.42335	0.0	0.0	0.0	0.22372	1.17356	0.0	0.0	4.68474	2.56146	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	1.53806	0.16483	0.0	0.34988	0.06219	3.76867	0.45519	0.0	0.0	0.0	0.0	0.68645	0.0	0.49673	7.42006	2.43616	0.0	2.18895	0.17936	0.04731	0.0	0.40926	0.0	0.79438	9.35191	0.0	1.19217	0.0	0.60642	5.02562	0.14596	0.0	0.0	0.37152	3.7759	0.0	0.0	0.20678	0.0	0.38011	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	1.36752	3.16222	0.0	4.39883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46667	0.0	11.31787	0.0	0.0	0.0	0.0	0.0	2.97187	0.0	1.85237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88479	0.0	0.00407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	0.95836	0.02232	0.60341	0.97656	2.04125	0.36835	4.34528	0.0	0.0	0.0	0.0	0.59054	0.0	0.04816	0.48673	0.31154	0.0	0.0	0.0	6.0744	0.0	3.70775	0.0	0.0	0.0	0.0	1.50609	0.0	1.29546	9.08963	0.38619	0.0	0.0	1.41886	0.0	0.0	0.0	4.94022	1.43058	9.29383	3.26703
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.61966	0.62341	0.0	0.0	0.0	0.0	2.07965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09614	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.50649	2.32556	6.53459	0.0355	0.0	0.0934	0.0	92.14654	0.3059	0.0	0.0	0.0	88.4518	0.00766	0.0	0.13728	0.13346	0.03597	0.0	0.65439	0.01373	0.30747	0.00229	0.0	0.0	0.34944	0.0	0.52791	0.0	0.0	0.01904	0.03881	0.0	0.0	0.0151	0.0	0.0	0.23338	0.09132	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.49564	0.18421	0.0	0.05165	0.36898	0.29906	0.0	0.0	0.0	0.0	0.0	0.13835	0.0	0.01266	0.0	0.0	0.01746	0.0	0.0	0.00159	0.0	0.0	0.0	0.0	0.0	0.00317	1.10424	0.0	1.15713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.47454	0.80337	11.98138	0.04437	0.07521	0.29064	0.0845	0.0	0.38396	0.0	0.0	0.6579	0.0	1.10704	0.279	1.49012	1.10775	0.69106	0.16395	0.21136	0.0	0.52863	0.40596	4.3761	0.0	0.57283	1.15622	23.96035	0.96234	0.65075	1.1965	0.0	1.80978	0.79571	34.58255	98.10611	0.0	1.37499	0.02344	0.76956	0.0
k__Bacteria|p__Firmicutes|c__CFGB3053|o__OFGB3053|f__FGB3053	0.33268	0.0	0.0	0.06284	0.0	0.03551	0.0	0.0	0.0	0.0	0.0	0.00762	0.0	0.0	0.0	0.0	0.03748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57324	0.0	0.0	0.0	0.05205	0.0	0.0	0.0	0.53776	0.0	0.26002	0.0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047	0.20849	0.0	0.0	0.16782	0.0	0.0	0.11155	0.0	0.0	0.0	0.0	0.02091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01281	0.0	0.00185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06834	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.10722	0.00524	0.0	0.30577	0.0	0.56206	0.0	0.0	0.0	0.0	0.0	0.02489	0.0	0.0	0.3088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae	0.04401	0.0	0.0	0.01005	0.0	0.03596	0.0	0.0	0.0	0.0	0.0	0.17053	0.0	0.01965	0.34608	0.02494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.04075	0.14598	29.77091	0.0	0.0	0.03475	0.01506	7.43438	0.26631	0.0	0.0	0.0	7.1741	0.0	0.01654	0.0	0.01042	0.00184	0.0	0.34624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.6855	0.0	0.0	0.0	0.0	0.18037	0.0	1.31077	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2882|o__OFGB2882|f__FGB2882	0.03285	0.0	0.0	0.05667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00965	0.0	0.0	0.09329	0.0	0.14338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.03101	0.0	0.0	0.48908	0.0	0.55119	0.0	0.0	0.03854	0.0	0.0	0.001	0.0	0.0	0.34759	0.02689	0.0	0.0	0.0	2.07199	2.35635	0.0	0.0	1.63412	0.0	0.0	0.0	1.88963	0.0	3.00434	0.0	0.0	0.0	0.68921	0.0	0.0	0.0	8.85901	1.66233	2.4816	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.02812	0.0	0.0	0.03226	0.0	0.02224	0.0	0.0	0.0	0.0	0.0	0.00661	0.0	0.0	0.0	0.00608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21856	0.0	0.0	0.0
